,Unnamed: 0,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,3Dplummer_50000000,2,80,72,5.245,2024-11-06 09:46:53.141100,2024-11-06 09:47:03.633100,1549.7255004943363,140.0051355153722,1735.92186407767,154.74786893203884,1704.889136813781,145.5336605466222,9210.223980582525,330.9669902912621,29.503883495145637,419.6,377.64,1.8189199116353798e-05,1.2463145624577203e-05,1850.4227973604034,0.06156544105160876,0.005255382186405802,0.06682082323801455,0.007632187949222054,0.004706582313665335,0.012338770262887388,0.07915959350090195,nearestNeighbors,130
1,1,3Dplummer_50000000,10,16,80,13.05,2024-10-28 01:18:16.149700,2024-10-28 01:20:26.663400,2554.562862035687,239.86466751918653,3017.835034535687,276.5458250191865,2631.774890785687,255.1484831441865,1634.5405065234083,231.25172678434384,21.191250959324638,208.8,1044.0,1.8189199116353798e-05,1.2463145624577203e-05,2886.923373929874,0.09503631550059426,0.009213695224651179,0.10425001072524544,0.003797904775494673,0.0130115240320586,0.016809428807553276,0.12105943953279871,nearestNeighbors,130
2,2,3Dplummer_50000000,2,96,40,533.218,2024-11-06 10:08:36.931000,2024-11-06 10:26:23.453600,61667.49292583602,7892.139860473018,80596.61639526936,9390.917901839684,80596.61639526936,8204.38528575774,606.1346498967523,151.1513422188849,17.611779613290782,51188.928,21328.72,1.8189199116353798e-05,1.2463145624577203e-05,88801.0016810271,2.910433369829171,0.2962694686523628,3.206702838481534,0.9310856039446982,0.2658229433458323,1.1969085472905305,4.403611385772065,nearestNeighbors,130
3,3,3Dplummer_50000000,2,96,72,5.058,2024-11-06 09:46:09.150000,2024-11-06 09:46:19.267100,1499.1406836551018,138.26094440204082,1678.698587755102,152.47805510204083,1678.698587755102,143.59236091454082,9558.465408163263,331.8897959183673,30.14591836734694,485.568,364.176,1.8189199116353798e-05,1.2463145624577203e-05,1822.2909486696428,0.06061967122448979,0.005185279699691752,0.06580495092418154,0.008832093036529681,0.004538778520976027,0.013370871557505708,0.07917582248168725,nearestNeighbors,130
4,4,3Dplummer_50000000,10,64,64,5.139,2024-10-28 02:24:51.462400,2024-10-28 02:25:42.857000,1507.5805670703526,132.96808183884542,1690.0139536203526,147.4128686888454,1629.202824770353,137.78301078884542,6576.52121330724,328.860469667319,28.68512720156556,328.896,328.896,1.8189199116353798e-05,1.2463145624577203e-05,1766.9858355591982,0.0588323242278183,0.004975497611819418,0.06380782183963772,0.005982354832572299,0.004099078743340944,0.010081433575913243,0.07388925541555097,nearestNeighbors,130
5,5,3Dplummer_50000000,10,64,96,5.154,2024-10-27 23:17:41.478100,2024-10-27 23:18:33.019300,1515.6153479499997,133.985496603125,1698.5812312499995,148.472445703125,1637.592603483333,141.228971153125,6714.83865234375,329.56562499999995,28.8072265625,329.856,494.784,1.8189199116353798e-05,1.2463145624577203e-05,1778.821574636458,0.059135288459120354,0.005099935069418402,0.06423522352853876,0.005999816463723998,0.006166565044710807,0.012166381508434805,0.07640160503697357,nearestNeighbors,130
6,6,3Dplummer_50000000,2,48,40,540.718,2024-11-06 11:35:33.234400,2024-11-06 11:53:34.681900,59698.91839470755,7845.885174903466,78894.29023914089,9365.744341270132,69296.60431692422,8162.522501229854,537.6311340492502,145.90653582669876,17.320940566561745,25954.464,21628.72,1.8189199116353798e-05,1.2463145624577203e-05,77459.12681815407,2.5023773781111522,0.2947577569888558,2.797135135100008,0.47209091365423644,0.2695618870332055,0.7416528006874419,3.53878793578745,nearestNeighbors,130
7,7,3Dplummer_50000000,2,48,72,6.029,2024-11-06 09:48:22.938100,2024-11-06 09:48:34.997900,1750.3506346166666,148.34364548333335,1964.378828333333,165.29005916666668,1857.364731475,154.69855061458335,4819.528499999999,325.82166666666666,27.41583333333333,289.392,434.088,1.8189199116353798e-05,1.2463145624577203e-05,2012.0632820895835,0.06707150419215278,0.005586336549971065,0.07265784074212385,0.005263808710679858,0.005410101957881469,0.010673910668561326,0.08333175141068518,nearestNeighbors,130
8,8,3Dplummer_50000000,10,64,48,5.113,2024-10-28 05:16:11.178000,2024-10-28 05:17:02.318400,1492.3895631107844,131.55130928529414,1673.8999552941175,145.9230149019608,1613.3964912330066,135.1442356894608,6389.687274509804,327.38117647058823,28.539607843137254,327.232,245.42400000000004,1.8189199116353798e-05,1.2463145624577203e-05,1748.5407269224675,0.058261539961191905,0.0048802085110083064,0.06314174847220021,0.005952088005242687,0.003058755051766236,0.009010843057008923,0.07215259152920914,nearestNeighbors,130
9,9,3Dplummer_50000000,2,16,56,13.123,2024-11-06 09:56:01.374100,2024-11-06 09:56:27.622400,2674.5002959884223,251.634328074173,3140.363952671756,288.52067519083965,2752.1442387689776,262.3928459832008,1642.4935877862604,239.30229007633588,21.98587786259542,209.968,734.8879999999999,1.8189199116353798e-05,1.2463145624577203e-05,3014.5370847521785,0.09938298639999085,0.009475297216060028,0.10885828361605088,0.003819149760062574,0.009159016161754291,0.012978165921816866,0.12183644953786774,nearestNeighbors,130
