,Unnamed: 0,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,trigramString_500000000000,10,80,64,2.443,2024-10-28 02:23:44.858300,2024-10-28 02:24:09.371900,576.9640395625682,53.978893325956285,663.6900102459016,60.84571844262295,649.2356817986794,56.26783503151184,5483.433688524591,271.6700819672131,24.906147540983607,195.44,156.352,1.8189199116353798e-05,1.2463145624577203e-05,705.5035168301912,0.05410297348322328,0.004688986252625986,0.05879195973584927,0.0035548970753001862,0.001948637744693895,0.005503534819994081,0.06429549455584335,wordCounts,300
1,1,trigramString_500000000000,10,80,56,2.455,2024-10-29 18:57:09.219300,2024-10-29 18:57:33.853900,572.3737204412569,54.4764573784153,659.5256885245902,61.37701229508197,645.0003605107013,56.48911922910975,5318.787622950819,268.6459016393443,25.000819672131147,196.4,137.48000000000002,1.8189199116353798e-05,1.2463145624577203e-05,701.489479739811,0.05375003004255844,0.004707426602425812,0.05845745664498425,0.003572358706451886,0.001713433260466874,0.00528579196691876,0.06374324861190302,wordCounts,300
2,2,trigramString_500000000000,10,80,24,2.44,2024-10-29 19:09:16.206300,2024-10-29 19:09:40.694600,565.2865286666666,54.073607333333335,651.906,60.932,637.4694214444444,54.930906416666666,4908.819959016394,267.1745901639344,24.972131147540985,195.2,58.56,1.8189199116353798e-05,1.2463145624577203e-05,692.400327861111,0.05312245178703703,0.004577575534722222,0.057700027321759245,0.003550531667512261,0.0007298418077752411,0.004280373475287503,0.061980400797046746,wordCounts,300
3,3,trigramString_500000000000,10,48,64,2.526,2024-10-28 03:01:20.600400,2024-10-28 03:01:45.988200,592.1357213157479,53.90078812362204,681.8081740157479,61.00091102362204,636.9719476657478,56.26749575695537,3143.482992125984,269.91614173228345,24.149212598425198,121.248,161.664,1.8189199116353798e-05,1.2463145624577203e-05,693.2394434227032,0.05308099563881232,0.00468895797974628,0.0577699536185586,0.0022054040144596655,0.002014841974251649,0.004220245988711314,0.06199019960726991,wordCounts,300
4,4,trigramString_500000000000,10,96,40,2.411,2024-10-29 19:02:25.245000,2024-10-29 19:02:49.436600,565.2761173624128,54.322299677754536,650.8660949790795,61.09917866108787,650.8660949790795,55.73414946594898,5863.171129707112,269.9569037656904,25.3418410041841,231.456,96.44,1.8189199116353798e-05,1.2463145624577203e-05,706.6002444450286,0.054238841248256627,0.004644512455495749,0.058883353703752375,0.0042099992706747845,0.0012019457640342255,0.00541194503470901,0.06429529873846139,wordCounts,300
5,5,trigramString_500000000000,10,96,16,2.42,2024-10-29 04:55:49.416800,2024-10-29 04:56:13.694700,561.7969973623789,53.92275312724757,647.7064730290456,60.72492946058091,647.7064730290456,54.48960115502536,6159.508049792531,267.6473029045643,25.09294605809129,232.32,38.72,1.8189199116353798e-05,1.2463145624577203e-05,702.196074184071,0.05397553941908713,0.004540800096252113,0.058516339515339244,0.0042257147387113145,0.0004825729985836293,0.004708287737294944,0.06322462725263418,wordCounts,300
6,6,trigramString_500000000000,10,32,56,2.905,2024-10-29 18:59:35.642200,2024-10-29 19:00:04.852600,657.8776739372145,59.31116148744293,761.0045445205478,67.47658390410959,692.2532974649922,61.69274302563737,2296.7271917808216,261.96369863013695,23.2277397260274,92.96,162.67999999999998,1.8189199116353798e-05,1.2463145624577203e-05,753.9460404906296,0.05768777478874935,0.005141061918803114,0.06282883670755246,0.001690867949856249,0.002027504530206219,0.0037183724800624682,0.06654720918761493,wordCounts,300
7,7,trigramString_500000000000,10,64,48,2.461,2024-10-28 07:42:30.437100,2024-10-28 07:42:55.145900,584.1535381146259,54.01694018333333,671.5185048979592,60.93436,642.3968493035148,55.7462951375,4652.472530612245,272.8640816326531,24.76,157.504,118.128,1.8189199116353798e-05,1.2463145624577203e-05,698.1431444410148,0.0535330707752929,0.004645524594791666,0.05817859537008457,0.0028648716176221884,0.001472246466340056,0.004337118083962244,0.06251571345404681,wordCounts,300
8,8,trigramString_500000000000,10,80,88,2.419,2024-10-29 18:45:03.537700,2024-10-29 18:45:27.814600,551.7254443646005,53.228819194077126,637.599420247934,60.028184710743794,623.287090934045,56.34519505588269,5441.035619834711,263.5797520661157,24.815289256198344,193.52,212.872,1.8189199116353798e-05,1.2463145624577203e-05,679.6322859899276,0.05194059091117041,0.004695432921323558,0.05663602383249397,0.003519973812996787,0.0026530547353949985,0.006173028548391786,0.06280905238088576,wordCounts,300
9,9,trigramString_500000000000,10,16,48,4.37,2024-10-28 11:59:33.803800,2024-10-28 12:00:17.761600,774.6546210930144,80.42244870652999,929.7886742596812,92.70571753986331,800.5102966207921,83.49326591486333,1333.8139863325748,212.76628701594527,21.214123006833717,69.92,209.76,1.8189199116353798e-05,1.2463145624577203e-05,884.0035625356554,0.06670919138506601,0.006957772159571944,0.07366696354463795,0.0012717888022154575,0.0026142694262113143,0.003886058228426772,0.07755302177306472,wordCounts,300
