,Unnamed: 0,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
0,0,1,8,4.4231,547.4798000000001,359.0668,1282.1653,182.4932666666667,179.5334,213.69421666666668,3,1730121492.2440836,1730123037.8310432,2188.7119,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,392524.39963194367,48689.30577429644,179.34036893203884,22.245644012944982,17509.6952,2188.7119,2.104,1.8189199116353798e-05,1.2463145624577203e-05,42.523476626793894,5.274674792215447,47.79815141900934,0.3184873324594643,0.027278235139945053,0.34576556759940935,48.14391698660875,spark,390
1,1,1,16,4.5321,326.8419,218.3177,805.2934,108.9473,109.15885,134.21556666666666,3,1730085079.872407,1730086022.864401,1350.453,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,304790.2392207105,33492.580556755034,225.69481442205725,24.80099681866384,21607.248,1350.453,1.922,1.8189199116353798e-05,1.2463145624577203e-05,33.01894258224363,3.628362893648462,36.6473054758921,0.39301853622843735,0.016830892398147158,0.4098494286265845,37.05715490451868,spark,390
2,2,1,24,4.4646,268.20680000000004,177.6353,676.9711,89.40226666666668,88.81765,112.82851666666666,3,1730064914.2091317,1730065694.8552144,1122.8132,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,271385.8912822792,28971.06771343918,241.701728553137,25.802215108834822,26947.5168,1122.8132,2.243,1.8189199116353798e-05,1.2463145624577203e-05,29.400138222246913,3.138532335622578,32.53867055786949,0.49015374876648915,0.01399378442079753,0.5041475331872867,33.04281809105677,spark,390
3,3,1,32,4.6789,256.2636,169.61739999999998,649.1659,85.4212,84.80869999999999,108.19431666666668,3,1730049691.379261,1730050438.2000673,1075.0468999999998,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,254777.07742244707,28169.03512732932,236.99159303882195,26.202610441767067,34401.500799999994,1075.0468999999998,2.281,1.8189199116353798e-05,1.2463145624577203e-05,27.60085005409843,3.0516454721273427,30.652495526225774,0.6257357479526043,0.013398466067950284,0.6391342140205546,31.29162974024633,spark,390
4,4,1,48,4.6405,270.165,180.2106,714.3906,90.055,90.1053,119.0651,3,1730036379.051731,1730037186.051193,1164.7662,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,235410.4781166989,29851.16797850557,202.10964064436183,25.62846344485749,55908.7776,1164.7662,2.234,1.8189199116353798e-05,1.2463145624577203e-05,25.502801795975714,3.23387653100477,28.736678326980485,1.016935888118341,0.014516650769185416,1.0314525388875264,29.76813086586801,spark,390
5,5,1,64,4.9673,295.0775,198.5035,872.429,98.35916666666668,99.25175,145.40483333333333,3,1730024584.4778893,1730025502.0058415,1366.01,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,256867.0081172301,33849.83207557252,188.0418211559433,24.780076335877865,87424.64,1366.01,2.613,1.8189199116353798e-05,1.2463145624577203e-05,27.82725921269993,3.6670651415203563,31.494324354220286,1.590184184635549,0.017024781554628707,1.6072089661901776,33.10153332041046,spark,390
6,6,2,8,4.3974,504.2692,326.4726,1143.5709,168.08973333333333,163.2363,190.59515,3,1730118526.9977224,1730119930.02197,1974.3127,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,364899.9226535028,44982.02518529386,184.8237731811697,22.78363766048502,15794.5016,3948.6254,3.252,1.8189199116353798e-05,1.2463145624577203e-05,39.530824954129464,4.873052728406835,44.4038776825363,0.28728933454596867,0.04921229337710441,0.3365016279230731,44.74037931045937,spark,390
7,7,2,16,4.5888,293.348,192.2397,690.7388,97.78266666666669,96.11985,115.12313333333331,3,1730083277.4686651,1730084106.3832283,1176.3265,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,284221.01490235823,30482.819767521105,241.6174547647768,25.913570566948128,18821.224,2352.653,3.33,1.8189199116353798e-05,1.2463145624577203e-05,30.790609947755474,3.302305474814786,34.09291542257026,0.3423429909494969,0.02932145694309843,0.37166444789259534,34.464579870462856,spark,390
8,8,2,24,4.7064,220.0799,144.0946,523.461,73.35996666666666,72.0473,87.2435,3,1730063479.9237907,1730064106.4263327,887.6355,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,250400.34651040667,24805.34920444976,282.09816586921846,27.94542264752791,21303.252,1775.271,3.331,1.8189199116353798e-05,1.2463145624577203e-05,27.126704205294054,2.6872461638153906,29.813950369109445,0.3874890924538623,0.022125460996088794,0.4096145534499511,30.223564922559397,spark,390
9,9,2,32,4.768,198.8197,130.8973,479.4583,66.27323333333334,65.44865,79.90971666666667,3,1730048350.104839,1730048919.7689073,809.1753,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,229901.39303026185,23397.325131010548,284.1181546572935,28.915026362038667,25893.6096,1618.3506,3.311,1.8189199116353798e-05,1.2463145624577203e-05,24.90598424494503,2.5347102225261424,27.440694467471175,0.4709840208555302,0.02016973919942189,0.4911537600549521,27.931848227526128,spark,390
